CÓDIGO EUROPEO,LEI,NOMBRE,CATEGORÍA,DIRECCIÓN,INFORME,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES8235,959800BJ6BDHSLGDRU96,"OCCIDENT HIPOTECARIA, EFC S.A",Otra institución,"AV SABINO ARANDA, 20, 48013, BILBAO",No,,"8235"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1577,,"Oddo BHF SCA, Sucursal en España",Entidad de crédito,"CL MAJORAL, 17, 28050, MADRID",No,FR45850,"1577"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES8814,549300SPOQGDJGPRO124,"Oney Servicios Financieros, E.F.C., S.A.",Otra institución,"Via de los Poblados, 1, 28033, Madrid",No,,"8814"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0073,95980020140006024944,"Open Bank, S.A.",Entidad de crédito,"PLAZA DE SANTA BARBARA, 2, 28004, Madrid",Sí,,"0073"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1568,,"Orange Bank, S.A., Sucursal en España",Entidad de crédito,"Ps Club Deportivo, 1, 28223, Madrid",No,FR18370,"1568"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESA85424893,9598005RQYUKA5W3GH05,"OUTPAYCE SA",Otra institución,"SALVADOR DE MADARIAGA, 1, 28027, MADRID",No,,"6727"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES6722,254900KRBS1LY7YOHY21,"PAGONXT EMONEY EDE, S.L.",Otra institución,"AVDA CANTABRIA S/N, 28660, BOADILLA DEL MONTE",No,,"6722"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0284391J,,"PAYMENTSENSE IRELAND LIMITED SUCURSAL EN ESPAÑA",Otra institución,"PS DE LA CASTELLANA, 259, 28046, MADRID",No,,"6728"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES6707,9598007HK1GFFYZRGJ06,"Pecunia Cards E.D.E. S.L",Otra institución,"AVDA DE BRUSELAS, 35, 28108, ALCOBENDAS",No,,"6707"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES1508,,"RCI Banque, S.A., Sucursal en España",Entidad de crédito,"AV. DE EUROPA, 1, 28108, ALCOBENDAS",Sí,FR11188,"1508"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES0083,213800IMKAUV5KW28586,"Renta 4 Banco, S.A.",Entidad de crédito,"Ps de la Habana, 74, 28036, Madrid",Sí,,"0083"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES1583,,"REVOLUT BANK UAB SUCURSAL EN ESPAÑA",Entidad de crédito,"CL PRÍNCIPE DE VERGARA, 132, 28002, MADRID",No,LT304580906,"1583"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES3138,95980020140005310054,"Ruralnostra, Sociedad Cooperativa de Crédito Valenciana",Entidad de crédito,"PZ MAYOR, 2, 12549, BETXI",No,,"3138"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES0242,959800EPV2YFDAY45075,"Sabadell Consumer Finance, S.A.",Entidad de crédito,"CL SENA, 12, 08190, SANT CUGAT DEL VALLES",Sí,,"0242"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0224,5493000LM0MZ4JPMGM90,"Santander Consumer Finance, S.A.",Entidad de crédito,"Av de Cantabria, sn, 28660, Boadilla del Monte",Sí,,"0224"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES8906,959800CSCUYU81ZRHM29,"Santander Factoring y Confirming, S.A., E.F.C.",Otra institución,"AV CANTABRIA, SN, 28660, BOADILLA DEL MONTE",Sí,,"8906"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES0036,959800PF0SJV8TSAB140,"Santander Investment, S.A.",Entidad de crédito,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",Sí,,"0036"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES4797,,"Santander Lease, S.A. EFC",Otra institución,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",No,,"4797"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA09641549,959800SPFKHC82CG1283,"SANTANDER MAPFRE HIPOTECA INVERSA, E.F.C., SA",Otra institución,"CL JUAN IGNACIO LUCA DE TENA, 11, 28027, MADRID",No,,"8845"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES8813,959800RPXWT9YQ6Q6M24,"Scania Finance Hispania, E.F.C., S.A.",Otra institución,"CL JACINTO BENAVENTE, 13, 28850, Torrejon de Ardoz",No,,"8813"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES6705,,"Sefide, E.D.E. S.L.",Otra institución,"AVENIDA DE LA CIENCIA, 2, 18006, Granada",No,,"6705"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES8795,5493009TO08H2XXXHQ45,"Servicios Financieros Carrefour, E.F.C., S.A.",Otra institución,"CARRETERA  NACIONAL I, KM. 14,500, 28108, Alcobendas",Sí,,"8795"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES8833,95980020140005902918,"SG Equipment Finance Iberia, E.F.C., S.A.",Otra institución,"CL SERRANO GALVACHE, 56, 28033, Madrid",No,,"8833"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES1490,95980020140005419373,"Singular Bank, S.A.",Entidad de crédito,"CALLE GOYA, 11, 28001, Madrid",No,,"1490"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES1551,,"SMBC Bank EU AG, Sucursal en España",Entidad de crédito,"Cl Pedro Teixeira, 8, 28001, Madrid",No,DE05904,"1551"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES8816,,"Sociedad Conjunta para la Emisión y Gestión de Medios de Pago, E.F.C., S.A",Otra institución,"Cl O'Donell, 12, 28009, Madrid",No,,"8816"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES0108,,"Société Genérale, Sucursal en España",Entidad de crédito,"Pz Pablo Ruiz Picasso, 1, 28020, Madrid",Sí,FR30003,"0108"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1578,529900CZTB6BW0KTXF98,"SOLARIS SE, SUCURSAL EN ESPAÑA",Entidad de crédito,"PS DE RECOLETOS, 5, 28004, MADRID",No,DE05888,"1578"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES8838,959800VLM2K3JG5BT155,"STELLANTIS FINANCIAL SERVICES ESPAÑA, E.F.C.,",Otra institución,"CL EDUARDO BARREIROS, 110, 28037, MADRID",Sí,,"8838"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES6724,254900C3E65C6T1QH416,"SWAN IO SUCURSAL EN ESPAÑA",Otra institución,"CL PAU CLARIS, 92, 08010, BARCELONA",No,,"6724"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES8836,,"Telefonica Consumer Finance, EFC, S.A.",Otra institución,"AVDA MANOTERAS, 20, 28050, MADRID",No,,"8836"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES1573,213800P3JRGG54CW4H38,"The Bank of New York Mellon SA/SV, S.E",Entidad de crédito,"Cl JOSÉ ABASCAL, 45, 28003, Madrid",No,BE0806743159,"1573"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES1570,,"The Governor and Company of the Bank of Ireland, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 42, 28046, MADRID",No,IEBKIREL,"1570"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES1487,,"Toyota Kreditbank GmbH, Sucursal en España",Entidad de crédito,"AV DE BRUSELAS, 22, 28108, ALCOBENDAS",Sí,DE04046,"1487"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES4784,,"Transolver Finance, E.F.C., S.A.",Otra institución,"Av Aragón, 402, 28022, Madrid",No,,"4784"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES6721,9598003BYPZCBMEYQ040,"TREEZOR S.A.S., SUCURSAL EN ESPAÑA",Otra institución,"PZA PABLO RUIZ PICASSO, 1, 28020, MADRID",No,FR16798,"6721"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES1491,,"Triodos Bank, N.V., S.E.",Entidad de crédito,"CL JOSÉ ECHEGARAY, 5, 28230, LAS ROZAS DE MADRID",Sí,NL195,"1491"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1460,,"UBS AG, SUCURSAL EN ESPAÑA",Entidad de crédito,"CL AYALA, 42, 28001, MADRID",Sí,CH0ECBM00020,"1460"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES0226,,"UBS Europe SE, Sucursal en España",Entidad de crédito,"CL MARÍA DE MOLINA, 4, 28006, MADRID",Sí,DE04024,"0226"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES2103,5493007SJLLCTM6J6M37,"Unicaja Banco, S.A.",Entidad de crédito,"Av Andalucía, 10-12, 29007, Málaga",Sí,,"2103"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES1557,,"Unicredit, S.p.A., Sucursal en España",Entidad de crédito,"Cl Miguel Angel. 11, 28010, Madrid",No,IT0000102484824,"1557"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES8596,9598008N2YKRW90TPL84,"Unión Cto. Fin. Mob. e Inm., Credifimo, E.F.C., S.A.",Otra institución,"Cl Goya, 77, 28001, Madrid",No,,"8596"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES8512,95980020140005209368,"Unión de Créditos Inmobiliarios, S.A., E.F.C.",Otra institución,"CL AMALTEA, 32, 28045, MADRID",Sí,,"8512"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES8769,959800RYLG2JBD5F8835,"Unión Financiera Asturiana, S.A., E.F.C.",Otra institución,"CL PELAYO, 15, 33003, OVIEDO",No,,"8769"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES6719,959800NZ0JPD1HVKVW84,"Unnax Regulatory Services, EDE, SL",Otra institución,"PZ DE EUROPA, 22-24, 08902, L' Hospitalet de Llobregat",No,,"6719"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
